Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
12.01005742,26.01275253,-18.32551575,-46.76882935,56.56687388
12.02005742,26.2904129,-18.59681702,-46.96038818,56.94124579
12.03005642,26.25154495,-18.29560852,-47.06390381,56.9111935
12.04005642,26.26256561,-18.20733643,-47.33084106,57.10900076
12.05005542,26.21681213,-18.33908081,-47.14199829,56.97377578
12.06005542,25.98368073,-18.30513,-46.93722534,56.6862644
12.07005442,26.01504898,-18.20799255,-47.14715576,56.84336428
12.08005442,25.77357483,-18.25917053,-46.90859985,56.55166848
12.09005342,25.98787689,-18.29902649,-46.59643555,56.40436084
12.10005342,25.98910522,-18.21017456,-47.07208252,56.76993043
12.11005242,25.89728165,-18.12484741,-47.08822632,56.7140225
12.12005242,26.02059555,-18.24473572,-46.67861938,56.46977317
12.13005142,25.8119812,-18.19680786,-46.88546753,56.529897
12.14005142,25.83222961,-18.35215759,-47.05776978,56.73217316
12.15005042,26.07697678,-18.34246826,-47.31018066,57.05004868
12.16005042,26.05534363,-18.38885498,-47.06015015,56.84794324
12.17005042,25.92860794,-18.38357544,-47.01486206,56.75073401
12.18004942,25.80651093,-18.15765381,-47.01391602,56.62141553
12.19004942,25.64832306,-18.41848755,-47.30792236,56.87808609
12.20004842,25.86349487,-18.19073486,-47.30908203,56.90318484
12.21004842,25.93201447,-18.41462708,-46.95953369,56.71653788
12.22004742,26.25328827,-18.14015198,-47.14660645,56.9306838
12.23004742,25.75635529,-18.31858826,-47.20755005,56.81120748
12.24004642,25.96388626,-18.27043152,-46.74194336,56.50434786
12.25004642,25.74966812,-18.41630554,-46.90719604,56.59055362
12.26004542,25.93327332,-18.21524048,-47.28897095,56.92606102
12.27004542,25.79174805,-18.22622681,-47.00115967,56.6261302
12.28004442,25.66007996,-18.18855286,-46.77023315,56.3623799
12.29004442,25.89982605,-18.28982544,-46.66577148,56.41819682
12.30004342,25.90041733,-18.28321838,-46.9006958,56.61080249
12.31004342,25.65512848,-18.16491699,-46.91149902,56.46980226
12.32004242,25.87037659,-18.07400513,-47.02767944,56.63522473
12.33004242,25.94074249,-18.23065186,-46.98010254,56.67811591
12.34004142,25.91937256,-18.08987427,-46.93765259,56.58799038
12.35004142,25.79824829,-18.30415344,-47.01449585,56.66528451
12.36004042,26.06754684,-18.32188416,-46.81259155,56.62708862
12.37004042,26.24280548,-18.44598389,-46.92657471,56.84226047
12.38003942,26.01896667,-18.25975037,-47.33215332,57.01524224
12.39003942,25.97691727,-18.16349792,-47.02310181,56.70877349
12.40003842,26.00635529,-18.35758972,-47.03414917,56.79386238
12.41003842,26.18505478,-18.48171997,-46.90777588,56.81171098
12.42003742,26.09734726,-18.41136169,-46.64599609,56.53228038
12.43003742,26.039505,-18.46873474,-46.5847168,56.47376225
12.44003642,26.29529953,-18.20428467,-46.45169067,56.39679356
12.45003642,26.15719223,-18.2481842,-46.61065674,56.47785631
12.46003642,26.05875397,-18.28141785,-46.81567383,56.61250933
12.47003542,26.29645538,-18.43571472,-47.02261353,56.94300067
12.48003542,26.14649582,-18.33981323,-46.75784302,56.6240574
12.49003442,25.81904984,-18.49888611,-46.42306519,56.24884979
12.50003442,25.95620728,-18.29417419,-46.39935303,56.22545213
12.51003342,26.26427841,-18.24617004,-46.73382568,56.62848669
12.52003342,26.41275024,-18.10151672,-46.80145264,56.70691538
12.53003242,26.08045578,-18.15783691,-46.50622559,56.32695832
12.54003242,26.24213409,-18.2527771,-46.70535278,56.5968502
12.55003142,26.38319778,-18.25144958,-46.90753174,56.82873455
12.56003142,26.26029205,-18.39787292,-46.89831543,56.81141309
12.57003042,26.27286148,-18.09841919,-46.90362549,56.72535687
12.58003042,26.41592407,-18.24235535,-46.87820435,56.81681631
12.59002942,26.68424988,-18.19581604,-46.77429199,56.84163355
12.60002942,26.77383804,-18.08543396,-47.00131226,57.0354686
12.61002842,26.78491592,-18.24072266,-47.10498047,57.17547437
12.62002842,26.50510406,-18.35591125,-46.82785034,56.85338677
12.63002742,26.42629623,-18.42515564,-46.50915527,56.57682403
12.64002742,26.71648026,-18.41938782,-46.78625488,56.93854416
12.65002642,26.82361984,-18.26052856,-46.54779053,56.74196232
12.66002642,26.50036621,-18.32363892,-46.04321289,56.19610846
12.67002542,26.45832825,-18.1746521,-46.42358398,56.44032479
12.68002542,26.37915421,-18.1468811,-46.37860107,56.3572862
12.69002442,26.36658859,-18.10040283,-46.54119873,56.47038831
12.70002442,26.33987808,-18.00389099,-46.86669922,56.69582669
12.71002342,26.27672577,-18.23852539,-47.21621704,57.03052934
12.72002342,26.28998184,-18.30926514,-46.87313843,56.77572933
12.73002242,26.37848663,-18.37705994,-46.79699707,56.77587361
12.74002242,26.43906403,-18.39733887,-46.68765259,56.72057024
12.75002142,26.14627075,-18.19161987,-46.90661621,56.69914596
12.76002142,25.90057373,-18.27072144,-46.83703613,56.55410626
12.77002142,26.21564102,-18.37014771,-46.56890869,56.51004705
12.78002042,26.02251434,-18.25247192,-46.59533691,56.40433854
12.79002042,26.09971619,-18.24627686,-46.81451416,56.61908283
12.80001942,26.13630676,-18.17434692,-46.81878662,56.61635981
12.81001942,26.22831726,-18.31692505,-47.03912354,56.88684833
12.82001842,26.2455101,-18.17877197,-46.75204468,56.6131454
12.83001842,26.2041626,-18.10374451,-46.78985596,56.60118659
12.84001742,26.02057648,-18.08561707,-46.80938721,56.52679608
12.85001742,26.23863983,-18.20109558,-46.7953186,56.65287233
12.86001642,26.40964508,-18.43063354,-46.7727356,56.78773108
12.87001642,26.41216278,-18.42440796,-47.01293945,56.98488947
12.88001542,26.30268097,-18.4041748,-46.98910522,56.90800195
12.89001542,26.43772888,-18.42953491,-47.12078857,57.08738899
12.90001442,26.49181747,-18.41238403,-47.24365234,57.20834699
12.91001442,26.53710938,-18.50061035,-47.0368042,57.08722893
12.92001342,26.23822021,-18.4703064,-47.06158447,56.9595396
12.93001342,26.05439377,-18.6622467,-47.06008911,56.93648105
12.94001242,26.17860794,-18.50601196,-46.8147583,56.73987652
12.95001242,26.3894577,-18.44036865,-47.21276855,57.1445202
12.96001142,26.36197662,-18.44892883,-46.53155518,56.57298307
12.97001142,26.11024857,-18.35479736,-46.90286255,56.73202078
12.98001042,26.29444122,-18.40000916,-47.15740967,57.04190795
12.99001042,26.3368988,-18.41107178,-47.03225708,56.96168018
13.00000942,26.31658554,-18.44148254,-47.09094238,57.01059382
13.01000942,26.2653389,-18.56968689,-46.75631714,56.75257255
13.02000942,26.32006836,-18.43647766,-46.94494629,56.89004912
13.03000842,26.43014526,-18.35707092,-46.97814941,56.94278843
13.04000842,26.50915527,-18.34796143,-46.57843018,56.64744619
13.05000742,26.36231232,-18.37509155,-46.80264282,56.77237775
13.06000742,26.2934494,-18.36047363,-46.91729736,56.83031995
13.07000642,26.15751648,-18.1295166,-46.60406494,56.43433272
13.08000642,26.15452576,-18.41670227,-47.22167969,57.03613918
13.09000542,26.25156784,-18.32972717,-47.21734619,57.04911475
13.10000542,26.29354095,-18.345047,-46.97741699,56.87502749
13.11000442,26.02352905,-18.54582214,-46.62353516,56.52367304
13.12000442,26.06607819,-18.52345276,-46.90710449,56.77002013
13.13000342,26.03700256,-18.24606323,-46.85656738,56.6249259
13.14000342,26.02535629,-18.2883606,-46.52944946,56.36286872
13.15000242,26.18122864,-18.20843506,-46.78536987,56.62044396
13.16000242,26.3687439,-18.46508789,-46.48248291,56.54105891
13.17000142,26.18022537,-18.44512939,-46.66937256,56.60085983
13.18000142,26.15221405,-18.28964233,-46.37414551,56.29396671
13.19000042,26.19848251,-18.30238342,-46.43499756,56.36973233
13.20000042,26.07457733,-18.41261292,-47.04214478,56.84954954
13.20999942,26.39372253,-18.55506897,-46.56829834,56.65267499
13.21999942,26.32925415,-18.53895569,-46.59735107,56.64128909
13.22999842,26.47130585,-18.51394653,-46.737854,56.81481538
13.23999842,26.47130966,-18.36386108,-46.89620972,56.89653869
13.24999742,26.295784,-18.32102966,-46.75671387,56.68614183
13.25999742,26.42647552,-18.35418701,-46.51876831,56.56174144
13.26999642,26.45721054,-18.23431396,-46.81619263,56.78230435
13.27999642,26.21789169,-18.17687988,-46.57159424,56.45077676
13.28999542,26.32992554,-18.31730652,-46.33267212,56.35162112
13.29999542,26.65293884,-18.43519592,-46.43896484,56.62872993
13.30999442,26.27396774,-18.407547,-46.54373169,56.52856028
13.31999442,26.26714706,-18.36552429,-46.42709351,56.41569382
13.32999442,26.27577209,-18.16799927,-46.41070557,56.34222207
13.33999342,26.27695084,-18.38568115,-46.6736145,56.62983054
13.34999342,26.38694763,-18.25590515,-46.78695679,56.73242815
13.35999242,26.37884903,-18.26902771,-46.94119263,56.86014962
13.36999242,26.30198669,-18.13754272,-46.72039795,56.60000481
13.37999142,26.12091064,-18.07415771,-46.73141479,56.50488721
13.38999142,26.1386261,-18.1391449,-46.96420288,56.72647269
13.39999042,26.10911942,-18.08666992,-47.15762329,56.85644361
13.40999042,26.2400856,-18.12249756,-47.22119141,56.98076805
13.41998942,26.19651794,-18.23152161,-47.00512695,56.81661634
13.42998942,26.06930161,-18.25743103,-46.71566772,56.52694831
13.43998842,25.99373245,-18.18141174,-46.71853638,56.46998761
13.44998842,25.99798584,-18.23210144,-46.60263062,56.39246378
13.45998742,25.97354507,-18.28761292,-46.49316406,56.30875717
13.46998742,25.80772781,-18.17469788,-46.65884399,56.33299371
13.47998642,25.9503746,-18.27418518,-46.84100342,56.58133427
13.48998642,26.23312378,-18.52832031,-47.05822754,56.97325878
13.49998542,26.03778076,-18.34294128,-47.20330811,56.94367233
13.50998542,25.98094177,-18.22816467,-47.08908081,56.78606215
13.51998442,25.81948471,-18.3152771,-47.24951172,56.87364525
13.52998442,26.13506699,-18.10211182,-46.68765259,56.48420206
13.53998342,26.06790543,-18.12397766,-46.96261597,56.68775492
13.54998342,26.27466202,-18.21890259,-46.5526123,56.47505634
13.55998242,26.43024445,-18.08920288,-46.74420166,56.66389919
13.56998242,26.43663406,-18.32702637,-47.12530518,57.05760163
13.57998142,26.51758575,-18.33732605,-46.89910889,56.91191699
13.58998142,26.51023483,-18.08880615,-47.09017944,56.98668668
13.59998042,26.15739059,-18.23127747,-46.79071045,56.62118989
13.60998042,26.3115387,-18.05175781,-46.61727905,56.49189088
13.61998042,26.4196167,-18.04335022,-46.54238892,56.47789479
13.62997942,26.38458633,-18.23774719,-46.36715698,56.37973985
13.63997942,26.48976898,-18.12503052,-46.92477417,56.8520802
13.64997842,26.41734695,-18.08703613,-46.79379272,56.69811402
13.65997842,26.3691597,-18.10147095,-46.86453247,56.73870141
13.66997742,26.45748901,-18.16229248,-46.83450317,56.77445095
13.67997742,26.49972153,-18.15718079,-46.90811157,56.8532267
13.68997704,26.42549515,-18.17959595,-46.41976929,56.42339482
13.69997704,26.21141815,-18.26565552,-46.48577881,56.40567564
13.70997604,26.40610886,-18.21328735,-46.45007324,56.45011714
13.71997604,26.45715332,-18.2822113,-46.57254028,56.59701159
13.72997504,26.3653717,-18.32691956,-46.30432129,56.34801661
13.73997504,26.41709137,-18.39749146,-46.35791016,56.4392261
13.74997404,26.31754303,-18.15637207,-46.40597534,56.3540723
13.75997404,26.22112656,-18.35916138,-46.44528198,56.40718485
13.76997304,25.97922134,-18.19390869,-46.56591797,56.34113037
13.77997304,25.94879532,-18.30184937,-46.43057251,56.2502954
13.78997204,26.05958939,-18.02027893,-46.69351196,56.42797809
13.79997204,26.02098846,-18.10383606,-46.8140564,56.53668364
13.80997104,26.11253357,-18.15905762,-46.51754761,56.35155737
13.81997104,26.11210632,-18.03244019,-46.78222656,56.52952961
13.82997004,26.02111053,-17.99040222,-46.42852783,56.18150018
13.83997004,26.19152451,-18.02391052,-46.13491821,56.02934932
13.84996904,25.98104477,-18.04914856,-46.41186523,56.16803081
13.85996904,26.13402557,-18.05342102,-46.6546936,56.44088712
13.86996804,26.15023041,-17.83769226,-46.71939087,56.43331728
13.87996804,26.31119156,-17.84687805,-46.87789917,56.6420982
13.88996804,25.8351326,-17.97494507,-46.41720581,56.08127782
13.89996704,25.84859848,-18.02912903,-46.48092651,56.15760026
13.90996704,25.83306885,-18.05233765,-46.4503479,56.13260337
13.91996604,25.98282623,-17.86506653,-46.40866089,56.10732275
13.92996604,26.23086548,-18.16482544,-46.71121216,56.56815825
13.93996504,26.25017548,-18.17312622,-46.45529175,56.36868244
13.94996504,25.97543716,-18.24920654,-46.07424927,55.95170525
13.95996404,25.99841309,-18.47065735,-46.29473877,56.21641667
13.96996404,26.1205864,-18.45233154,-46.44906616,56.39405394
13.97996304,26.22711945,-18.18153381,-46.49609375,56.3942967
13.98996304,26.20856857,-18.02374268,-46.49023438,56.33015408
13.99996204,26.31440353,-18.35928345,-46.07858276,56.1493269
14.00996204,26.51219177,-18.1763916,-46.34603882,56.40241873
14.01996104,26.51253128,-18.43083191,-46.77639771,56.8387303
14.02996104,26.36322021,-18.33972168,-46.56985474,56.56956904
14.03996004,26.40742874,-18.27104187,-46.42376709,56.44775828
14.04996004,26.71317291,-18.15612793,-46.24545288,56.40815988
14.05995904,26.24995804,-18.35832214,-46.41424561,56.39477355
14.06995904,26.34162903,-18.38929749,-46.35598755,56.39969205
14.07995804,26.18545532,-18.42541504,-46.15390015,56.17255993
14.08995804,26.22414017,-18.32481384,-46.37210083,56.33716416
14.09995704,26.3963356,-18.40441895,-46.29000854,56.37600608
14.10995704,26.46316147,-18.36941528,-46.44598389,56.5240104
14.11995604,26.33790207,-18.21615601,-46.58395386,56.52944527
14.12995604,26.32218552,-18.22738647,-46.41415405,56.38589154
14.13995504,26.2815361,-18.17425537,-46.71188354,56.59525389
14.14995504,26.11875916,-18.16835022,-46.55474854,56.38814716
14.15995404,26.03499985,-18.04071045,-46.62823486,56.36914703
14.16995404,26.19153976,-18.01748657,-46.18365479,56.06742857
14.17995404,26.12995529,-18.14089966,-46.2571106,56.13899789
14.18995304,26.10790634,-18.23977661,-45.89083862,55.8594781
14.19995304,26.29816437,-18.66107178,-46.1277771,56.28144338
14.20995204,26.33317566,-18.3772583,-46.02896118,56.12330203
14.21995204,26.23090363,-18.14028931,-46.46499634,56.35713163
14.22995104,26.25809097,-18.3006897,-46.52026367,56.46713661
14.23995104,26.03851318,-18.32475281,-46.02633667,55.96627915
14.24995004,26.58514404,-18.50453186,-45.97964478,56.24335798
14.25995004,26.51253128,-18.49269104,-46.3258667,56.48875872
14.26994904,26.41871643,-18.30854797,-46.3352356,56.39242471
14.27994904,26.34770966,-18.53346252,-46.26199341,56.37253827
14.28994804,26.16674805,-18.29234314,-46.03924561,56.02607122
14.29994804,26.29205322,-18.4140625,-46.26199341,56.30738668
14.30994704,26.2716713,-18.30595398,-45.90563965,55.96995994
14.31994704,26.0318222,-18.34391785,-45.68667603,55.69046108
14.32994604,25.97084045,-18.29374695,-45.77487183,55.71790217
14.33994604,26.19276428,-18.06697083,-45.76281738,55.7378847
14.34994504,26.31320953,-18.12161255,-45.95404053,55.96920294
14.35994504,26.16629791,-18.21478271,-45.9871521,55.95776634
14.36994404,26.09073257,-18.16290283,-46.16253662,56.0499523
14.37994404,26.37427139,-18.02719116,-46.91445923,56.75868478
14.38994304,26.19293213,-18.15213013,-46.63369751,56.48248636
14.39994304,26.38755417,-18.16473389,-46.36151123,56.35290849
14.40994204,26.37094116,-18.3561554,-46.43920898,56.47101123
14.41994204,26.44533539,-18.28445435,-46.08422852,56.19104157
14.42994204,26.36043549,-18.37188721,-46.18145752,56.25945091
14.43994104,26.40664673,-18.09968567,-46.54187012,56.48942633
14.44994104,26.2980423,-18.16271973,-46.40557861,56.34668706
14.45994004,26.24552155,-18.19075012,-46.32058716,56.26124408
14.46994004,26.25155258,-18.08015442,-46.30496216,56.21552737
14.47993904,26.10413361,-18.12355042,-46.67312622,56.46476408
14.48993904,26.25634003,-18.09945679,-46.4414978,56.33647527
14.49993804,26.04809952,-18.08152771,-46.71185303,56.45743836
14.50993804,26.22276306,-18.3870697,-46.18655396,56.20422939
14.51993704,26.28231049,-18.38999939,-46.29519653,56.32226153
14.52993704,26.24930573,-18.40458679,-46.6605835,56.61240958
14.53993604,26.42525482,-18.5415802,-46.72946167,56.79548289
14.54993604,26.39040375,-18.35739136,-46.7755127,56.75734151
14.55993504,26.37452698,-18.2625885,-46.09423828,56.15885162
14.56993504,26.25524902,-18.26881409,-45.86437988,55.91626786
14.57993404,26.15024948,-18.40510559,-46.43338013,56.37944882
14.58993404,25.90630341,-18.36100769,-46.29959106,56.14192099
14.59993304,25.94925308,-18.37521362,-46.40042114,56.24954483
14.60993304,26.19992447,-18.29521179,-46.46343994,56.39150705
14.61993204,26.1880455,-17.93067932,-46.41937256,56.23238513
14.62993204,26.05837631,-18.07550049,-46.45800781,56.25041497
14.63993104,26.10311127,-17.97103882,-46.61035156,56.36360108
14.64993104,26.09803009,-18.05137634,-46.76138306,56.5118245
14.65993004,26.15980911,-18.10203552,-46.93066406,56.69661835
14.66993004,26.0999527,-18.39280701,-46.94772339,56.77668194
